time,ion_current_M44,potential,current1,current1_muA,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub
280.15000000000003,4.443333333333312e-10,0.3058895000000003,1.0689999999999899e-07,0.1068999999999989,-3.85544688644688e-09,-3.85412812527672e-09,-1.3187611701603098e-12,3.298529865698737e-10,9.688732892818639e-10,-5.245399559485326e-10,-5.311690804499036e-10,4.443333333333312e-10,4.4533333333333355e-10,-1.000000000002323e-12
280.2,4.4155555555555515e-10,0.3064213899999998,1.0550000000000044e-07,0.1055000000000004,-3.858224664224656e-09,-3.854096676688393e-09,-4.127987536263231e-12,3.300012408495865e-10,9.68899359405657e-10,-5.273438038501018e-10,-5.311879245550815e-10,4.4155555555555515e-10,4.4533333333333355e-10,-3.777777777778351e-12
280.25,4.440769230769244e-10,0.306927615,1.0425000000000009e-07,0.10425,-3.855703296703288e-09,-3.8540650941780996e-09,-1.6382025251882828e-12,3.301496998304437e-10,9.689254295294496e-10,-5.248485064525254e-10,-5.312067535537193e-10,4.440769230769244e-10,4.4533333333333355e-10,-1.2564102564091746e-12
280.3,4.479230769230787e-10,0.3074338400000001,1.0299999999999973e-07,0.1029999999999997,-3.851857142857133e-09,-3.854033378346493e-09,2.1762354893600152e-12,3.3029836341771277e-10,9.689514996532427e-10,-5.21028422730164e-10,-5.312255674562283e-10,4.479230769230787e-10,4.4533333333333355e-10,2.589743589745192e-12
280.35,4.4746153846153806e-10,0.3079400650000002,1.0174999999999937e-07,0.1017499999999993,-3.852318681318674e-09,-3.854001529810606e-09,1.6828484919327149e-12,3.3044723151666114e-10,9.689775697770356e-10,-5.215160313154975e-10,-5.3124436627302e-10,4.4746153846153806e-10,4.4536263736263747e-10,2.0989010989005866e-12
280.40000000000003,4.46824175824175e-10,0.3084914800000004,9.895999999999653e-08,0.0989599999999965,-3.852956043956037e-09,-3.853969549187476e-09,1.013505231438911e-12,3.3059630403255634e-10,9.690036399008282e-10,-5.221794640766534e-10,-5.312631500145061e-10,4.46824175824175e-10,4.453736263736263e-10,1.4505494505487416e-12
280.45,4.4572527472527503e-10,0.3091106799999997,9.386000000000232e-08,0.0938600000000023,-3.854054945054937e-09,-3.853937437094139e-09,-1.1750796079802826e-13,3.307455808706661e-10,9.690297100246215e-10,-5.233044352993465e-10,-5.31281918691099e-10,4.4572527472527503e-10,4.453736263736263e-10,3.51648351648772e-13
280.5,4.455604395604394e-10,0.3096379599999999,9.443999999999795e-08,0.0944399999999979,-3.854219780219772e-09,-3.853905194147635e-09,-3.145860721373561e-13,3.3089506193625805e-10,9.690557801484144e-10,-5.23495340587975e-10,-5.313006723132107e-10,4.455604395604394e-10,4.453736263736263e-10,1.8681318681312254e-13
280.55,4.472087912087913e-10,0.3100273600000001,1.0354000000000312e-07,0.1035400000000031,-3.85257142857142e-09,-3.853872820965008e-09,1.3013923935874896e-12,3.310447471346e-10,9.69081850272207e-10,-5.21873059063416e-10,-5.313194108912541e-10,4.472087912087913e-10,4.453736263736263e-10,1.835164835165016e-12
280.6,4.4599999999999934e-10,0.3104806000000004,1.0673999999999615e-07,0.1067399999999961,-3.853780219780212e-09,-3.853840318163298e-09,6.009838308537422e-14,3.3119463637095947e-10,9.69107920396e-10,-5.231079203960006e-10,-5.313381344356419e-10,4.4599999999999934e-10,4.4539560439560306e-10,6.043956043962785e-13
280.65000000000003,4.421538461538449e-10,0.3110296000000003,1.0108999999999615e-07,0.1010899999999961,-3.8576263736263675e-09,-3.8538076863595486e-09,-3.818687266818084e-12,3.3134472955060435e-10,9.69133990519793e-10,-5.26980144365948e-10,-5.313568429567874e-10,4.421538461538449e-10,4.4540659340659335e-10,-3.2527472527484266e-12
280.7,4.436923076923066e-10,0.3115755199999999,1.0995999999999305e-07,0.109959999999993,-3.856087912087905e-09,-3.853774926170803e-09,-2.312985917102306e-12,3.3149502657880237e-10,9.69160060643586e-10,-5.254677529512795e-10,-5.313755364651041e-10,4.436923076923066e-10,4.4542857142856875e-10,-1.7362637362620958e-12
280.75,4.475384615384634e-10,0.3121168200000002,1.406100000000105e-07,0.1406100000000104,-3.8522417582417485e-09,-3.853742038252288e-09,1.5002800105395748e-12,3.316455273608216e-10,9.691861307673791e-10,-5.216476692289157e-10,-5.313942149710057e-10,4.475384615384634e-10,4.45450549450545e-10,2.0879120879184675e-12
280.8,4.470222222222217e-10,0.3125973600000002,1.3821999999996456e-07,0.1382199999999645,-3.85275799755799e-09,-3.853709023282359e-09,9.510257243686776e-13,3.3179623180192967e-10,9.692122008911718e-10,-5.2218997866895e-10,-5.31412878484906e-10,4.470222222222217e-10,4.45450549450545e-10,1.5716727716766996e-12
280.85,4.460439560439562e-10,0.3129867600000002,8.626999999996457e-08,0.0862699999999645,-3.853736263736256e-09,-3.85367588193937e-09,-6.038179688582497e-14,3.319471398073951e-10,9.692382710149647e-10,-5.231943149710086e-10,-5.314315270172186e-10,4.460439560439562e-10,4.45450549450545e-10,5.934065934112641e-13
280.90000000000003,4.465934065934069e-10,0.3134400000000004,5.9520000000007543e-08,0.0595200000000074,-3.853186813186805e-09,-3.853642614901677e-09,4.558017148725078e-13,3.320982512824857e-10,9.692643411387578e-10,-5.226709345453509e-10,-5.314501605783577e-10,4.465934065934069e-10,4.45450549450545e-10,1.1428571428618952e-12
280.95,4.47e-10,0.3139889999999997,7.056999999999497e-08,0.0705699999999949,-3.852780219780212e-09,-3.853609222847636e-09,8.290030674243301e-13,3.3224956613247e-10,9.692904112625504e-10,-5.222904112625505e-10,-5.314687791787372e-10,4.47e-10,4.45450549450545e-10,1.549450549455022e-12
281.0,4.47e-10,0.3145053199999998,8.595999999999503e-08,0.085959999999995,-3.852780219780212e-09,-3.853575706455605e-09,7.954866753930008e-13,3.3240108426261624e-10,9.693164813863435e-10,-5.223164813863437e-10,-5.314873828287721e-10,4.47e-10,4.45450549450545e-10,1.549450549455022e-12
281.05,4.474835164835162e-10,0.3149726200000001,1.0786000000000749e-07,0.1078600000000074,-3.852296703296696e-09,-3.853542066403942e-09,1.2453631072458413e-12,3.3255280557819267e-10,9.693425515101366e-10,-5.218590350266204e-10,-5.315059715388766e-10,4.474835164835162e-10,4.45450549450545e-10,2.032967032971269e-12
281.1,4.4858241758241747e-10,0.3154554800000004,1.202999999999986e-07,0.1202999999999986,-3.851197802197794e-09,-3.853508303371009e-09,2.3105011732145813e-12,3.3270472998446806e-10,9.693686216339292e-10,-5.207862040515119e-10,-5.315245453194653e-10,4.4858241758241747e-10,4.45450549450545e-10,3.1318681318725318e-12
281.15000000000003,4.4934065934065957e-10,0.3159616800000006,1.1854999999999813e-07,0.1185499999999981,-3.850439560439552e-09,-3.85347441803517e-09,3.0348575956178565e-12,3.328568573867108e-10,9.693946917577223e-10,-5.200540324170626e-10,-5.315431041809531e-10,4.4934065934065957e-10,4.45450549450545e-10,3.890109890114585e-12
281.2,4.498901098901099e-10,0.3164678800000001,1.167999999999996e-07,0.1167999999999996,-3.849890109890102e-09,-3.853440411074791e-09,3.550301184689051e-12,3.3300918769018937e-10,9.694207618815152e-10,-5.195306519914051e-10,-5.315616481337551e-10,4.498901098901099e-10,4.45450549450545e-10,4.439560439564958e-12
281.25,4.4604395604395434e-10,0.3169740800000002,1.1504999999999913e-07,0.1150499999999991,-3.8537362637362585e-09,-3.8534062831682405e-09,-3.299805680179491e-13,3.3316172080017236e-10,9.694468320053083e-10,-5.234028759613537e-10,-5.315801771882861e-10,4.4604395604395434e-10,4.45450549450545e-10,5.93406593409403e-13
281.3,4.4109890109889866e-10,0.3174943400000004,1.071399999999883e-07,0.1071399999999883,-3.8586813186813135e-09,-3.853372034993888e-09,-5.309283687425125e-12,3.3331445662192836e-10,9.694729021291011e-10,-5.283740010302023e-10,-5.31598691354962e-10,4.4109890109889866e-10,4.45450549450545e-10,-4.351648351646277e-12
281.35,4.4317777777777856e-10,0.3180356900000003,8.99899999999883e-08,0.0899899999999883,-3.856602442002433e-09,-3.853337667230111e-09,-3.264774772322382e-12,3.33467395060726e-10,9.69498972252894e-10,-5.263211944751154e-10,-5.316171906441979e-10,4.4317777777777856e-10,4.4545054945055005e-10,-2.2727716727714397e-12
281.40000000000003,4.4579120879121004e-10,0.3185474200000003,8.616000000001102e-08,0.086160000000011,-3.853989010989002e-09,-3.853303180608375e-09,-6.858303806269098e-13,3.3362053602183383e-10,9.69525042376687e-10,-5.23733833585477e-10,-5.316356750664098e-10,4.4579120879121004e-10,4.4545054945055057e-10,3.406593406594151e-13
281.45,4.5018681318681e-10,0.3190147199999998,1.0230999999999266e-07,0.1023099999999926,-3.849593406593402e-09,-3.853268575892794e-09,3.675169299392003e-12,3.337738794105207e-10,9.695511125004795e-10,-5.193642993136696e-10,-5.316541446320136e-10,4.5018681318681e-10,4.4546666666666527e-10,4.720146520144745e-12
281.5,4.5141758241758403e-10,0.3195146999999999,1.1120000000000045e-07,0.1112000000000004,-3.848362637362628e-09,-3.853233853847484e-09,4.871216484856138e-12,3.339274251320552e-10,9.695771826242728e-10,-5.181596002066887e-10,-5.316725993514256e-10,4.5141758241758403e-10,4.454725274725263e-10,5.9450549450576916e-12
281.55,4.4702197802197624e-10,0.3200637000000002,1.0919999999999932e-07,0.1091999999999993,-3.852758241758236e-09,-3.853199015236563e-09,4.407734783271163e-13,3.3408117309170587e-10,9.696032527480659e-10,-5.225812747260894e-10,-5.316910392350619e-10,4.4702197802197624e-10,4.454725274725263e-10,1.5494505494500072e-12
281.6,4.4559340659340745e-10,0.3205488400000003,9.173999999997229e-08,0.0917399999999722,-3.854186813186804e-09,-3.8531640608241505e-09,-1.0227523626545909e-12,3.3423512319474146e-10,9.696293228718588e-10,-5.240359162784513e-10,-5.317094642933386e-10,4.4559340659340745e-10,4.454725274725263e-10,1.2087912088122025e-13
281.65000000000003,4.4669230769230877e-10,0.3209381900000003,5.108999999997228e-08,0.0510899999999722,-3.853087912087903e-09,-3.8531289913743645e-09,4.1079286460959835e-14,3.3438927534643073e-10,9.696553929956514e-10,-5.229630853033429e-10,-5.317278745366718e-10,4.4669230769230877e-10,4.4547252747252747e-10,1.2197802197812416e-12
281.7,4.4660439560439557e-10,0.3213571999999999,2.200200000000267e-08,0.0220020000000026,-3.853175824175816e-09,-3.853093807651325e-09,-8.201652449164068e-14,3.3454362945204227e-10,9.696814631194443e-10,-5.230770675150488e-10,-5.317462699754774e-10,4.4660439560439557e-10,4.4547252747252877e-10,1.1318681318668514e-12
281.75,4.46054945054945e-10,0.3218207000000002,1.0256999999995994e-08,0.0102569999999959,-3.853725274725267e-09,-3.853058510419156e-09,-6.667643061109833e-13,3.3469818541684477e-10,9.697075332432376e-10,-5.236525881882926e-10,-5.317646506201717e-10,4.46054945054945e-10,4.454835164835149e-10,5.71428571430017e-13
281.8,4.450109890109888e-10,0.3223495400000004,2.5368000000037785e-08,0.0253680000000377,-3.854769230769223e-09,-3.853023100441982e-09,-1.7461303272411765e-12,3.3485294314610686e-10,9.697336033670302e-10,-5.247226143560416e-10,-5.317830164811713e-10,4.450109890109888e-10,4.455e-10,-4.890109890112617e-13
281.85,4.441318681318688e-10,0.3229763900000004,8.076300000003779e-08,0.0807630000000377,-3.855648351648343e-09,-3.852987578483928e-09,-2.660773164414988e-12,3.3500790254509724e-10,9.697596734908231e-10,-5.256278053589544e-10,-5.318013675688932e-10,4.441318681318688e-10,4.455054945054937e-10,-1.3736263736249494e-12
281.90000000000003,4.4578021978022063e-10,0.3235394200000003,1.0823999999999017e-07,0.1082399999999901,-3.853999999999991e-09,-3.852951945309119e-09,-1.048054690871678e-12,3.3516306351908455e-10,9.697857436146162e-10,-5.240055238343956e-10,-5.31819703893754e-10,4.4578021978022063e-10,4.4550549450549503e-10,2.7472527472559993e-13
