E,I,I2
0.17975,-0.00092,0.03845
0.18005,0,0.03601
0.18127,-0.00061,0.03632
0.18097,0.00031,0.03784
0.18188,-0.00122,0.03601
0.18158,0.00031,0.03662
0.1825,0,0.03998
0.1828,0.00031,0.03632
0.18341,0,0.03754
0.18372,0,0.03662
0.18463,-0.00061,0.03876
0.18463,0.00061,0.03723
0.18524,0,0.03815
0.18585,0.00061,0.03876
0.18646,0,0.03876
0.18646,0.00031,0.03784
0.18768,-0.00031,0.03784
0.18738,0.00092,0.03876
0.1886,-0.00031,0.03906
0.1886,-0.00061,0.03723
0.18921,0,0.03784
0.18982,0,0.03967
0.19073,-0.00061,0.03845
0.19073,-0.00031,0.03815
0.19165,-0.00031,0.03845
0.19257,0.00031,0.03906
0.19196,-0.00153,0.03632
0.19287,0,0.03845
0.19348,-0.00092,0.03693
0.19379,0,0.03723
0.1947,-0.00061,0.03723
0.19501,0,0.03662
0.19501,-0.00092,0.03845
0.19592,0.00031,0.03998
0.19653,0,0.03784
0.19684,0.00061,0.03723
0.19745,-0.00031,0.03967
0.19775,0.00031,0.03815
0.19806,0.00031,0.03815
0.19836,0,0.03723
0.19897,0,0.03967
0.19958,0,0.03754
0.2002,-0.00061,0.03693
0.20081,-0.00092,0.03845
0.20172,0,0.03754
0.20203,0.00031,0.03662
0.20294,0,0.03784
0.20294,-0.00031,0.03601
0.20355,0.00031,0.03876
0.20477,0.00031,0.03784
0.20447,0,0.0412
0.20538,0,0.03815
0.20599,0.00061,0.04089
0.2063,-0.00031,0.03754
0.2066,0.00031,0.04242
0.20721,0,0.03815
0.20691,-0.00061,0.03967
0.20782,0,0.03754
0.20874,0,0.04181
0.20905,0.00031,0.03876
0.20813,0,0.03967
0.21088,-0.00122,0.04028
0.21057,-0.00153,0.0412
0.21118,0.00031,0.03967
0.21179,0.00031,0.03937
0.2121,0,0.03937
0.21301,0,0.03998
0.21301,-0.00031,0.03876
0.21301,-0.00092,0.03876
0.21423,-0.00031,0.0415
0.21423,-0.00092,0.03876
0.21484,0,0.03876
0.21545,-0.00061,0.03784
0.21606,0.00031,0.04272
0.21667,-0.00092,0.03998
0.21729,0.00031,0.03937
0.21729,-0.00031,0.0354
0.21729,0.00031,0.04303
0.2179,-0.00092,0.03815
0.21881,-0.00031,0.03784
0.22034,-0.00092,0.03967
0.21973,0,0.04211
0.22095,-0.00031,0.03845
0.22034,-0.00031,0.03723
0.22095,-0.00031,0.03906
0.22217,0.00031,0.04059
0.22308,-0.00031,0.03845
0.22308,-0.00031,0.03845
0.22369,-0.00031,0.03815
0.22369,-0.00031,0.03967
0.22461,-0.00031,0.03967
0.22522,0.00061,0.03876
0.22552,-0.00061,0.0412
0.22583,0.00061,0.03967
0.22675,-0.00092,0.03784
0.22583,0,0.03845
0.22797,-0.00092,0.04059
0.22827,0,0.0412
0.22827,-0.00092,0.03754
0.22858,0.00092,0.03815
0.22949,-0.00092,0.03967
0.2298,0.00031,0.04028
0.2298,-0.00092,0.03845
0.23071,0.00031,0.04089
0.23132,-0.00061,0.03937
0.23163,0,0.03937
0.23224,-0.00092,0.03815
0.23254,0.00031,0.04211
0.23224,0,0.03937
0.23285,-0.00031,0.03937
0.23407,-0.00031,0.03693
0.23468,-0.00031,0.04272
0.2356,0.00031,0.03845
0.2359,-0.00031,0.03845
0.23621,0,0.03815
0.23682,-0.00122,0.04425
0.23773,0,0.0412
0.23743,0,0.03937
0.23895,0.00031,0.03998
0.23865,-0.00031,0.04272
0.23926,-0.00061,0.03906
0.23987,-0.00031,0.03967
0.24017,0.00031,0.03906
0.24078,-0.00031,0.03998
0.2417,-0.00092,0.03845
0.24139,0.00031,0.03815
0.242,0.00061,0.03998
0.24231,-0.00061,0.03967
0.24353,0,0.03693
0.24353,-0.00061,0.03784
0.24353,0.00031,0.04272
0.24445,-0.00122,0.0412
0.24506,0,0.03937
0.24536,0,0.03876
0.24628,0,0.04272
0.24658,0,0.04181
