E,I,I,j
V,A,nA,uA cm-2
0.21009,3.63941E-10,0.363941,53.738217019467
0.211,3.625719E-10,0.3625719,53.5360606454356
0.21191,3.591251E-10,0.3591251,53.0271185739936
0.21282,3.606177E-10,0.3606177,53.2475105131355
0.21373,3.584573E-10,0.3584573,52.9285136316386
0.21464,3.569494E-10,0.3569494,52.7058625496125
0.21554,3.607495E-10,0.3607495,53.2669716263466
0.21645,3.640263E-10,0.3640263,53.7508121101871
0.21736,3.64586E-10,0.364586,53.8334553959554
0.21827,3.584033E-10,0.3584033,52.9205401861652
0.21918,3.633314E-10,0.3633314,53.6482056794557
0.22009,3.584463E-10,0.3584463,52.9268894112644
0.22099,3.631582E-10,0.3631582,53.6226315913816
0.2219,3.618159E-10,0.3618159,53.4244324088074
0.22281,3.581811E-10,0.3581811,52.8877309346059
0.22372,3.622924E-10,0.3622924,53.4947906822907
0.22463,3.606836E-10,0.3606836,53.2572410697411
0.22554,3.608044E-10,0.3608044,53.275077962578
0.22645,3.63108E-10,0.363108,53.6152192402192
0.22735,3.63516E-10,0.363516,53.6754630504631
0.22826,3.625966E-10,0.3625966,53.5397077584578
0.22917,3.603997E-10,0.3603997,53.2153214184464
0.23008,3.591602E-10,0.3591602,53.0323013135513
0.23099,3.606829E-10,0.3606829,53.2571377102627
0.2319,3.632778E-10,0.3632778,53.6402912965413
0.23281,3.612984E-10,0.3612984,53.3480202230202
0.23371,3.60786E-10,0.360786,53.2723610848611
0.23462,3.603023E-10,0.3603023,53.2009396853147
0.23553,3.587224E-10,0.3587224,52.9676573426574
0.23644,3.640641E-10,0.3640641,53.7563935220185
0.23735,3.628425E-10,0.3628425,53.5760164666415
0.23826,3.624026E-10,0.3624026,53.5110624173124
0.23916,3.639519E-10,0.3639519,53.7398264742015
0.24007,3.596426E-10,0.3596426,53.1035307597808
0.24098,3.63491E-10,0.363491,53.6717716405216
0.24189,3.646248E-10,0.3646248,53.8391844641845
0.2428,3.607016E-10,0.3607016,53.2598988848989
0.24371,3.625548E-10,0.3625548,53.5335357210357
0.24461,3.603358E-10,0.3603358,53.2058861746362
0.24552,3.620105E-10,0.3620105,53.4531663437913
0.24643,3.619316E-10,0.3619316,53.4415162540163
0.24734,3.640758E-10,0.3640758,53.7581211018711
0.24825,3.598914E-10,0.3598914,53.1402676715177
0.24916,3.553083E-10,0.3553083,52.4635436354186
0.25006,3.597213E-10,0.3597213,53.1151513182763
0.25097,3.554413E-10,0.3554413,52.4831819363069
0.25188,3.616061E-10,0.3616061,53.3934540965791
0.25279,3.598752E-10,0.3598752,53.1378756378756
0.2537,3.62152E-10,0.362152,53.4740597240597
0.25461,3.588803E-10,0.3588803,52.9909722878473
0.25551,3.593003E-10,0.3593003,53.052987974863
0.25642,3.612239E-10,0.3612239,53.3370198213948
0.25733,3.604839E-10,0.3604839,53.2277540871291
0.25824,3.619855E-10,0.3619855,53.4494749338499
0.25915,3.628922E-10,0.3628922,53.583354989605
0.26006,3.601119E-10,0.3601119,53.1728259072009
0.26096,3.622747E-10,0.3622747,53.4921771640522
0.26187,3.63454E-10,0.363454,53.6663083538083
0.26278,3.574108E-10,0.3574108,52.7739912114912
0.26369,3.638973E-10,0.3638973,53.7317644348894
0.2646,3.611115E-10,0.3611115,53.3204232422982
0.26551,3.58904E-10,0.358904,52.9944717444717
0.26641,3.648414E-10,0.3648414,53.8711668399168
0.26732,3.606163E-10,0.3606163,53.2473037941788
0.26823,3.641067E-10,0.3641067,53.7626836845587
0.26914,3.606522E-10,0.3606522,53.2526046588547
0.27005,3.637208E-10,0.3637208,53.7057030807031
0.27096,3.590948E-10,0.3590948,53.0226445851446
0.27187,3.589981E-10,0.3589981,53.0083662114912
0.27277,3.614088E-10,0.3614088,53.3643214893215
0.27368,3.607846E-10,0.3607846,53.2721543659044
0.27459,3.661299E-10,0.3661299,54.0614221082971
0.2755,3.588506E-10,0.3588506,52.9865868928369
0.27641,3.65054E-10,0.365054,53.9025585900586
0.27732,3.591187E-10,0.3591187,53.0261735730486
0.27822,3.63264E-10,0.363264,53.6382536382536
0.27913,3.586013E-10,0.3586013,52.9497761529012
0.28004,3.623994E-10,0.3623994,53.5105899168399
0.28095,3.628551E-10,0.3628551,53.5778769372519
0.28186,3.621119E-10,0.3621119,53.4681387025137
0.28277,3.598498E-10,0.3598498,53.1341251653752
0.28368,3.625267E-10,0.3625267,53.5293865762616
0.28458,3.629111E-10,0.3629111,53.5861456955207
0.28549,3.639303E-10,0.3639303,53.7366370960121
0.2864,3.668872E-10,0.3668872,54.1732422982423
0.28731,3.650422E-10,0.3650422,53.9008162445663
0.28822,3.687332E-10,0.3687332,54.445816008316
0.28913,3.656712E-10,0.3656712,53.9936921186921
0.29003,3.609204E-10,0.3609204,53.2922061047061
0.29094,3.669748E-10,0.3669748,54.186176998677
0.29185,3.665219E-10,0.3665219,54.1193034161784
0.29276,3.635555E-10,0.3635555,53.6812954781705
0.29367,3.646164E-10,0.3646164,53.8379441504442
0.29458,3.64562E-10,0.364562,53.8299116424116
0.29548,3.684089E-10,0.3684089,54.397931038556
0.29639,3.655766E-10,0.3655766,53.9797238234738
0.2973,3.675602E-10,0.3675602,54.2726150538651
0.29821,3.642108E-10,0.3642108,53.7780547155547
0.29912,3.631767E-10,0.3631767,53.6253632347382
0.30003,3.586861E-10,0.3586861,52.9622974154224
0.30093,3.638165E-10,0.3638165,53.7198337979588
0.30184,3.668085E-10,0.3668085,54.1616217397467
0.30275,3.697952E-10,0.3697952,54.6026271026271
0.30366,3.640834E-10,0.3640834,53.7592432904933
0.30457,3.664896E-10,0.3664896,54.1145341145341
0.30548,3.687777E-10,0.3687777,54.4523867180117
0.30638,3.66412E-10,0.366412,54.103075978076
0.30729,3.64375E-10,0.364375,53.8022998960499
0.3082,3.70469E-10,0.370469,54.702117983368
0.30911,3.665984E-10,0.3665984,54.1305991305991
0.31002,3.694293E-10,0.3694293,54.5485996267246
0.31093,3.718123E-10,0.3718123,54.9004648223398
0.31184,3.635948E-10,0.3635948,53.6870983745984
0.31274,3.674751E-10,0.3674751,54.2600494944245
0.31365,3.658125E-10,0.3658125,54.014555967681
0.31456,3.649055E-10,0.3649055,53.8806316150066
0.31547,3.638077E-10,0.3638077,53.7185344216594
0.31638,3.683772E-10,0.3683772,54.3932503307503
0.31729,3.653539E-10,0.3653539,53.9468407437157
0.3182,3.680682E-10,0.3680682,54.3476245038745
0.3191,3.677435E-10,0.3677435,54.2996804715555
0.32001,3.6551E-10,0.36551,53.9698899073899
0.32092,3.652364E-10,0.3652364,53.9294911169911
0.32183,3.680103E-10,0.3680103,54.3390751984502
0.32274,3.641991E-10,0.3641991,53.7763271357021
0.32365,3.650139E-10,0.3650139,53.8966375685126
0.32456,3.632473E-10,0.3632473,53.6357877764128
0.32546,3.660854E-10,0.3660854,54.0548513986014
0.32637,3.670234E-10,0.3670234,54.1933530996031
0.32728,3.699543E-10,0.3699543,54.6261192354942
0.32819,3.695423E-10,0.3695423,54.5652847996598
0.3291,3.650769E-10,0.3650769,53.9059399215649
0.33001,3.67382E-10,0.367382,54.2463026838027
0.33091,3.629179E-10,0.3629179,53.5871497590248
0.33182,3.666971E-10,0.3666971,54.1451728170478
0.33273,3.667285E-10,0.3667285,54.1498092279342
0.33364,3.662176E-10,0.3662176,54.0743715743716
0.33455,3.665491E-10,0.3665491,54.1233196701947
0.33546,3.630786E-10,0.3630786,53.6108781421281
0.33636,3.717287E-10,0.3717287,54.8881207474958
0.33727,3.626503E-10,0.3626503,53.5476369070119
0.33818,3.676918E-10,0.3676918,54.2920466357966
0.33909,3.643327E-10,0.3643327,53.796054030429
0.34,3.640491E-10,0.3640491,53.7541786760537
0.34091,3.64148E-10,0.364148,53.7687818937819
0.34182,3.688662E-10,0.3688662,54.4654543092043
0.34273,3.627703E-10,0.3627703,53.5653556747307
0.34363,3.696124E-10,0.3696124,54.5756355131355
0.34454,3.628874E-10,0.3628874,53.5826462388962
0.34545,3.655427E-10,0.3655427,53.9747182715933
0.34636,3.691197E-10,0.3691197,54.5028852060102
0.34727,3.659772E-10,0.3659772,54.038874976375
0.34818,3.607727E-10,0.3607727,53.2703972547723
0.34908,3.63021E-10,0.363021,53.6023731336231
0.34999,3.624671E-10,0.3624671,53.5205862549613
0.3509,3.649463E-10,0.3649463,53.886655996031
0.35181,3.713381E-10,0.3713381,54.8304461585712
0.35272,3.650386E-10,0.3650386,53.9002846815347
0.35363,3.653598E-10,0.3653598,53.9477119164619
0.35453,3.646203E-10,0.3646203,53.838520010395
0.35544,3.638868E-10,0.3638868,53.730214042714
0.35635,3.67596E-10,0.367596,54.2779011529012
0.35726,3.682416E-10,0.3682416,54.3732281232281
0.35817,3.602464E-10,0.3602464,53.1926856926857
0.35908,3.605672E-10,0.3605672,53.2400538650539
0.35999,3.6573E-10,0.36573,54.0023743148743
0.36089,3.634635E-10,0.3634635,53.6677110895861
0.3618,3.684307E-10,0.3684307,54.401149948025
0.36271,3.693962E-10,0.3693962,54.5437121999622
0.36362,3.628755E-10,0.3628755,53.5808891277641
0.36453,3.652361E-10,0.3652361,53.9294468200718
0.36544,3.629873E-10,0.3629873,53.5973971130221
0.36634,3.662076E-10,0.3662076,54.072895010395
0.36725,3.637882E-10,0.3637882,53.7156551219051
0.36816,3.656783E-10,0.3656783,53.9947404791155
0.36907,3.649583E-10,0.3649583,53.8884278728029
0.36998,3.647938E-10,0.3647938,53.8641383953884
0.37089,3.60072E-10,0.360072,53.1669344169344
0.37179,3.632075E-10,0.3632075,53.6299110517861
0.3727,3.651255E-10,0.3651255,53.913116022491
0.37361,3.617816E-10,0.3617816,53.4193677943678
0.37452,3.606624E-10,0.3606624,53.2541107541108
0.37543,3.646581E-10,0.3646581,53.8441014222264
0.37634,3.637608E-10,0.3637608,53.7116093366093
0.37724,3.640227E-10,0.3640227,53.7502805471555
0.37815,3.645625E-10,0.3645625,53.8299854706105
0.37906,3.663482E-10,0.3663482,54.0936554999055
0.37997,3.677569E-10,0.3677569,54.3016590672841
0.38088,3.653287E-10,0.3653287,53.9431198024948
0.38179,3.6544E-10,0.36544,53.959553959554
0.38269,3.632475E-10,0.3632475,53.6358173076923
0.3836,3.671909E-10,0.3671909,54.2180855462105
0.38451,3.667748E-10,0.3667748,54.1566457191457
0.38542,3.670985E-10,0.3670985,54.2044420950671
0.38633,3.626824E-10,0.3626824,53.5523766773767
0.38724,3.602227E-10,0.3602227,53.1891862360612
0.38814,3.645195E-10,0.3645195,53.8236362455112
0.38905,3.696721E-10,0.3696721,54.5844506000756
0.38996,3.622649E-10,0.3622649,53.4907301313551
0.39087,3.661937E-10,0.3661937,54.0708425864676
0.39178,3.646432E-10,0.3646432,53.8419013419013
0.39269,3.623019E-10,0.3623019,53.4961934180684
0.3936,3.673244E-10,0.3673244,54.2377976752977
0.3945,3.651396E-10,0.3651396,53.915197977698
0.39541,3.621957E-10,0.3621957,53.4805123086373
0.39632,3.67001E-10,0.367001,54.1900455962956
0.39723,3.638209E-10,0.3638209,53.7204834861085
0.39814,3.677538E-10,0.3677538,54.3012013324513
0.39905,3.670458E-10,0.3670458,54.1966606029106
0.39996,3.619737E-10,0.3619737,53.4477325883576
0.40086,3.630803E-10,0.3630803,53.6111291580042
0.40177,3.661102E-10,0.3661102,54.0585132772633
0.40268,3.623995E-10,0.3623995,53.5106046824797
0.40359,3.62581E-10,0.362581,53.5374043186543
0.4045,3.683397E-10,0.3683397,54.3877132158382
0.40541,3.630382E-10,0.3630382,53.6049128236628
0.40631,3.661873E-10,0.3661873,54.0698975855226
0.40722,3.684952E-10,0.3684952,54.4106737856738
0.40813,3.668608E-10,0.3668608,54.1693441693442
0.40904,3.648527E-10,0.3648527,53.8728353572104
0.40995,3.687374E-10,0.3687374,54.4464361651862
0.41086,3.718106E-10,0.3718106,54.9002138064638
0.41177,3.685009E-10,0.3685009,54.4115154271404
0.41267,3.646601E-10,0.3646601,53.8443967350217
0.41358,3.688068E-10,0.3688068,54.4566835191835
0.41449,3.698427E-10,0.3698427,54.6096407815158
0.4154,3.651824E-10,0.3651824,53.9215176715177
0.41631,3.685045E-10,0.3685045,54.412046990172
0.41722,3.654538E-10,0.3654538,53.9615916178416
0.41812,3.666205E-10,0.3666205,54.1338623369873
0.41903,3.645476E-10,0.3645476,53.8277853902854
0.41994,3.679863E-10,0.3679863,54.3355314449064
0.42085,3.656444E-10,0.3656444,53.9897349272349
0.42176,3.672107E-10,0.3672107,54.2210091428841
0.42267,3.63871E-10,0.363871,53.7278810716311
0.42357,3.691153E-10,0.3691153,54.5022355178605
0.42448,3.671402E-10,0.3671402,54.2105993668494
0.42539,3.674314E-10,0.3674314,54.2535969098469
0.4263,3.66228E-10,0.366228,54.0759072009072
0.42721,3.672697E-10,0.3672697,54.2297208703459
0.42812,3.693089E-10,0.3693089,54.5308217964468
0.42903,3.657656E-10,0.3657656,54.0076308826309
0.42993,3.686799E-10,0.3686799,54.4379459223209
0.43084,3.673503E-10,0.3673503,54.241621975997
0.43175,3.665847E-10,0.3665847,54.1285762379512
0.43266,3.713214E-10,0.3713214,54.8279802967303
0.43357,3.693387E-10,0.3693387,54.535221957097
0.43447,3.698611E-10,0.3698611,54.6123576592327
0.43538,3.706237E-10,0.3706237,54.7249604280854
0.43629,3.676564E-10,0.3676564,54.2868195993196
0.4372,3.719843E-10,0.3719843,54.9258617227367
0.43811,3.709965E-10,0.3709965,54.7800067331317
0.43902,3.687829E-10,0.3687829,54.4531545312795
0.43992,3.628797E-10,0.3628797,53.5815092846343
0.44083,3.701216E-10,0.3701216,54.6508221508222
0.44174,3.651128E-10,0.3651128,53.9112407862408
0.44265,3.682698E-10,0.3682698,54.377392033642
0.44356,3.684679E-10,0.3684679,54.4066427660178
0.44447,3.716902E-10,0.3716902,54.882435976186
0.44538,3.679315E-10,0.3679315,54.3274398743149
0.44628,3.625666E-10,0.3625666,53.5352780665281
0.44719,3.687098E-10,0.3687098,54.4423608486108
0.4481,3.69663E-10,0.369663,54.5831069268569
0.44901,3.638564E-10,0.3638564,53.7257252882253
0.44992,3.675064E-10,0.3675064,54.2646711396711
0.45083,3.686496E-10,0.3686496,54.4334719334719
0.45173,3.647999E-10,0.3647999,53.8650390994141
0.45264,3.710958E-10,0.3710958,54.794669013419
0.45355,3.674315E-10,0.3674315,54.2536116754867
0.45446,3.691138E-10,0.3691138,54.502014033264
0.45537,3.69937E-10,0.369937,54.6235647798148
0.45628,3.679845E-10,0.3679845,54.3352656633907
0.45718,3.705773E-10,0.3705773,54.7181091712342
0.45809,3.675608E-10,0.3675608,54.2727036477037
0.459,3.672309E-10,0.3672309,54.2239918021168
0.45991,3.745765E-10,0.3745765,55.3086166367416
0.46082,3.717129E-10,0.3717129,54.8857877764128
0.46173,3.721495E-10,0.3721495,54.9502545596296
0.46264,3.748176E-10,0.3748176,55.3442165942166
0.46354,3.693525E-10,0.3693525,54.5372596153846
0.46445,3.738128E-10,0.3738128,55.1958514458515
0.46536,3.69485E-10,0.369485,54.5568240880741
0.46627,3.773955E-10,0.3773955,55.724860021735
0.46718,3.79198E-10,0.379198,55.9910106785107
0.46809,3.741333E-10,0.3741333,55.2431753213003
0.46899,3.696694E-10,0.3696694,54.5840519278019
0.4699,3.721765E-10,0.3721765,54.9542412823663
0.47081,3.757694E-10,0.3757694,55.484755953506
0.47172,3.708802E-10,0.3708802,54.7628342940843
0.47263,3.747964E-10,0.3747964,55.3410862785863
0.47354,3.750461E-10,0.3750461,55.3779560810811
0.47444,3.753783E-10,0.3753783,55.4270075363825
0.47535,3.794E-10,0.3794,56.0208372708373
0.47626,3.763699E-10,0.3763699,55.5734236202986
0.47717,3.775796E-10,0.3775796,55.7520435645436
0.47808,3.738022E-10,0.3738022,55.1942862880363
0.47899,3.765341E-10,0.3765341,55.5976688007938
0.4799,3.77867E-10,0.377867,55.79448001323
0.4808,3.852061E-10,0.3852061,56.8781450812701
0.48171,3.766346E-10,0.3766346,55.6125082687583
0.48262,3.83264E-10,0.383264,56.5913815913816
0.48353,3.838459E-10,0.3838459,56.6773028491779
0.48444,3.80402E-10,0.380402,56.168788981289
0.48535,3.796587E-10,0.3796587,56.059035980911
0.48625,3.822263E-10,0.3822263,56.4381585475335
0.48716,3.844132E-10,0.3844132,56.7610683235683
0.48807,3.818378E-10,0.3818378,56.380794037044
0.48898,3.789355E-10,0.3789355,55.9522508741259
0.48989,3.84886E-10,0.384886,56.8308802683803
0.4908,3.80587E-10,0.380587,56.1961054148554
0.49171,3.82423E-10,0.382423,56.4672025609526
0.49261,3.82204E-10,0.382204,56.4348658098658
0.49352,3.894467E-10,0.3894467,57.5042968011718
0.49443,3.842151E-10,0.3842151,56.7318175911926
0.49534,3.860387E-10,0.3860387,57.0010837979588
0.49625,3.790839E-10,0.3790839,55.9741630835381
0.49716,3.823594E-10,0.3823594,56.4578116140616
0.49806,3.866736E-10,0.3866736,57.0948308448308
0.49897,3.816543E-10,0.3816543,56.3536990880741
0.49988,3.864148E-10,0.3864148,57.0566173691174
0.50079,3.880579E-10,0.3880579,57.2992315961066
0.5017,3.834894E-10,0.3834894,56.6246633434134
0.50261,3.823931E-10,0.3823931,56.4627876346626
0.50351,3.861411E-10,0.3861411,57.0162038130788
0.50442,3.866858E-10,0.3866858,57.0966322528823
0.50533,3.848099E-10,0.3848099,56.8196436165186
0.50624,3.893026E-10,0.3893026,57.4830195142695
0.50715,3.816664E-10,0.3816664,56.3554857304857
0.50806,3.886015E-10,0.3886015,57.3794976138726
0.50896,3.904959E-10,0.3904959,57.6592178935929
0.50987,3.827605E-10,0.3827605,56.5170365951616
0.51078,3.867863E-10,0.3867863,57.1114717208467
0.51169,3.89677E-10,0.389677,57.5383020695521
0.5126,3.851461E-10,0.3851461,56.8692856974107
0.51351,3.852425E-10,0.3852425,56.8835197741448
0.51442,3.867733E-10,0.3867733,57.1095521876772
0.51532,3.836075E-10,0.3836075,56.6421015639766
0.51623,3.832295E-10,0.3832295,56.5862874456624
0.51714,3.858817E-10,0.3858817,56.9779017435267
0.51805,3.806349E-10,0.3806349,56.2031781563032
0.51896,3.803984E-10,0.3803984,56.1682574182574
0.51987,3.80744E-10,0.380744,56.2192874692875
0.52077,3.855959E-10,0.3855959,56.9357015450765
0.52168,3.816969E-10,0.3816969,56.3599892506142
0.52259,3.856862E-10,0.3856862,56.9490349177849
0.5235,3.888013E-10,0.3888013,57.4089993621244
0.52441,3.832452E-10,0.3832452,56.5886056511057
0.52532,3.825822E-10,0.3825822,56.4907094594595
0.52622,3.835898E-10,0.3835898,56.639488045738
0.52713,3.829291E-10,0.3829291,56.5419314638065
0.52804,3.861521E-10,0.3861521,57.017828033453
0.52895,3.873859E-10,0.3873859,57.2000064968815
0.52986,3.855348E-10,0.3855348,56.9266797391797
0.53077,3.860134E-10,0.3860134,56.9973480910981
0.53168,3.894783E-10,0.3894783,57.5089627433377
0.53258,3.924234E-10,0.3924234,57.9438256000756
0.53349,3.912341E-10,0.3912341,57.7682178463428
0.5344,3.888982E-10,0.3888982,57.4233072670573
0.53531,3.920397E-10,0.3920397,57.8871698402948
0.53622,3.894261E-10,0.3894261,57.5012550793801
0.53713,3.920012E-10,0.3920012,57.8814850689851
0.53804,3.961606E-10,0.3961606,58.4956470893971
0.53894,3.920093E-10,0.3920093,57.8826810858061
0.53985,3.925023E-10,0.3925023,57.9554756898507
0.54076,3.993638E-10,0.3993638,58.9686200623701
0.54167,3.936137E-10,0.3936137,58.119581010206
0.54258,3.931533E-10,0.3931533,58.051600004725
0.54349,3.955745E-10,0.3955745,58.4091056747307
