E,I,j
V,uA,uA cm-2
0.38065,0.54875,1.42606548856549
0.38271,0.097708,0.253918918918919
0.3831,0.25879,0.672531185031185
0.384,0.6454,1.67723492723493
0.38419,-0.12781,-0.33214656964657
0.38542,0.097708,0.253918918918919
0.38625,0.16214,0.421361746361746
0.38664,-0.41777,-1.08568087318087
0.38799,-0.063378,-0.164703742203742
0.38928,0.67762,1.76096673596674
0.39038,0.16214,0.421361746361746
0.39141,0.25879,0.672531185031185
0.39141,-0.51442,-1.33685031185031
0.3927,-0.19225,-0.499610187110187
0.39379,-0.25668,-0.667047817047817
0.39515,0.6454,1.67723492723493
0.39624,0.93535,2.43074324324324
0.39624,-0.22446,-0.583316008316008
0.39856,0.61318,1.59350311850312
0.3985,0.065491,0.170194906444906
0.39972,0.70983,1.84467255717256
0.40011,0.0010563,0.00274506237006237
0.40082,-0.19225,-0.499610187110187
0.40256,0.80648,2.095841995842
0.40275,-0.64329,-1.67175155925156
0.40417,0.16214,0.421361746361746
0.40462,0.097708,0.253918918918919
0.40507,0.25879,0.672531185031185
0.40694,0.77427,2.01213617463617
0.40758,0.70983,1.84467255717256
0.40874,0.54875,1.42606548856549
0.40965,0.22658,0.588825363825364
0.41068,0.70983,1.84467255717256
0.41126,0.065491,0.170194906444906
0.41222,-0.16003,-0.415878378378378
0.41364,0.77427,2.01213617463617
0.41429,0.12992,0.337629937629938
0.415,0.54875,1.42606548856549
0.4157,0.19436,0.505093555093555
0.41648,0.16214,0.421361746361746
0.41764,0.32323,0.839994802494803
0.41912,0.48431,1.25860187110187
0.41989,0.19436,0.505093555093555
0.42144,0.80648,2.095841995842
0.42215,1.0642,2.76559251559252
0.42279,0.0010563,0.00274506237006237
0.42324,0.6454,1.67723492723493
0.4244,0.87092,2.26330561330561
0.42595,0.96757,2.51447505197505
0.42602,0.12992,0.337629937629938
0.42724,0.29101,0.756262993762994
0.42756,0.19436,0.505093555093555
0.42892,0.22658,0.588825363825364
0.42995,0.74205,1.92840436590437
0.43091,0.25879,0.672531185031185
0.43111,-0.19225,-0.499610187110187
